[Step 0] Agent 0 Action: 2, Reward: 0.0000
[Step 0] Agent 1 Action: 3, Reward: 0.0000
[Step 0] Agent 2 Action: 0, Reward: 0.0000
[Step 0] Agent 3 Action: 0, Reward: 0.0000
[Step 0] Adaptive green duration: 40
[InjectFault] TL 1: Fault injected. Phase 4 changed from rrrGGrrrrGGr to rrrGGrrrrGrr. Flipped indices: [10]
[Simulate] Step 70: Queue length 19, Waiting time 531.0, Emergency Delay: 0.0
[Simulate] Step 71: Queue length 20, Waiting time 551.0, Emergency Delay: 0.0
[Simulate] Step 72: Queue length 21, Waiting time 572.0, Emergency Delay: 0.0
[Simulate] Step 73: Queue length 21, Waiting time 593.0, Emergency Delay: 0.0
[Simulate] Step 74: Queue length 22, Waiting time 615.0, Emergency Delay: 0.0
[Simulate] Step 75: Queue length 24, Waiting time 639.0, Emergency Delay: 0.0
[Simulate] Step 76: Queue length 25, Waiting time 664.0, Emergency Delay: 0.0
[Simulate] Step 77: Queue length 25, Waiting time 689.0, Emergency Delay: 0.0
[Simulate] Step 78: Queue length 25, Waiting time 714.0, Emergency Delay: 0.0
[Simulate] Step 79: Queue length 26, Waiting time 740.0, Emergency Delay: 0.0
[Simulate] Step 80: Queue length 26, Waiting time 766.0, Emergency Delay: 0.0
[Simulate] Step 81: Queue length 26, Waiting time 792.0, Emergency Delay: 0.0
[Simulate] Step 82: Queue length 26, Waiting time 818.0, Emergency Delay: 0.0
[Simulate] Step 83: Queue length 26, Waiting time 844.0, Emergency Delay: 0.0
[Simulate] Step 84: Queue length 27, Waiting time 871.0, Emergency Delay: 0.0
[Simulate] Step 85: Queue length 28, Waiting time 899.0, Emergency Delay: 0.0
[Simulate] Step 86: Queue length 28, Waiting time 927.0, Emergency Delay: 0.0
[Simulate] Step 87: Queue length 30, Waiting time 957.0, Emergency Delay: 0.0
[Simulate] Step 88: Queue length 30, Waiting time 987.0, Emergency Delay: 0.0
[Simulate] Step 89: Queue length 30, Waiting time 1017.0, Emergency Delay: 0.0
[Simulate] Step 90: Queue length 29, Waiting time 895.0, Emergency Delay: 0.0
[Simulate] Step 91: Queue length 29, Waiting time 924.0, Emergency Delay: 0.0
[Simulate] Step 92: Queue length 28, Waiting time 952.0, Emergency Delay: 0.0
[Simulate] Step 93: Queue length 28, Waiting time 923.0, Emergency Delay: 0.0
[Simulate] Step 94: Queue length 26, Waiting time 1023.0, Emergency Delay: 0.0
[Step 94] Agent 0 Action: 2, Reward: -0.0833
[Step 94] Agent 1 Action: 3, Reward: -0.4213
[Step 94] Agent 2 Action: 3, Reward: -0.2560
[Step 94] Agent 3 Action: 0, Reward: -0.3633
[SetYellow] TL 5: Set yellow phase 1 out of 8 phases.
[Simulate] Step 95: Queue length 25, Waiting time 1048.0, Emergency Delay: 0.0
[Simulate] Step 96: Queue length 24, Waiting time 1137.0, Emergency Delay: 0.0
[Simulate] Step 97: Queue length 25, Waiting time 1162.0, Emergency Delay: 0.0
[Simulate] Step 98: Queue length 26, Waiting time 1239.0, Emergency Delay: 0.0
[SetYellow] TL 6: Set yellow phase 3 out of 8 phases.
[Simulate] Step 99: Queue length 25, Waiting time 1216.0, Emergency Delay: 0.0
[Simulate] Step 100: Queue length 25, Waiting time 1226.0, Emergency Delay: 0.0
[Simulate] Step 101: Queue length 24, Waiting time 1265.0, Emergency Delay: 0.0
[Simulate] Step 102: Queue length 24, Waiting time 1221.0, Emergency Delay: 0.0
[Step 102] Adaptive green duration: 41
[Simulate] Step 103: Queue length 21, Waiting time 1185.0, Emergency Delay: 0.0
[Simulate] Step 104: Queue length 19, Waiting time 1185.0, Emergency Delay: 0.0
[Simulate] Step 105: Queue length 17, Waiting time 1202.0, Emergency Delay: 0.0
[Simulate] Step 106: Queue length 18, Waiting time 1162.0, Emergency Delay: 0.0
[Simulate] Step 107: Queue length 17, Waiting time 1184.0, Emergency Delay: 0.0
[Simulate] Step 108: Queue length 17, Waiting time 1201.0, Emergency Delay: 0.0
[Simulate] Step 109: Queue length 19, Waiting time 1194.0, Emergency Delay: 0.0
[Simulate] Step 110: Queue length 21, Waiting time 1203.0, Emergency Delay: 0.0
[Simulate] Step 111: Queue length 22, Waiting time 1205.0, Emergency Delay: 0.0
[Simulate] Step 112: Queue length 21, Waiting time 1113.0, Emergency Delay: 0.0
[Simulate] Step 113: Queue length 22, Waiting time 1113.0, Emergency Delay: 0.0
[Simulate] Step 114: Queue length 20, Waiting time 1112.0, Emergency Delay: 0.0
[Simulate] Step 115: Queue length 21, Waiting time 1055.0, Emergency Delay: 0.0
[Simulate] Step 116: Queue length 22, Waiting time 1060.0, Emergency Delay: 0.0
[Simulate] Step 117: Queue length 21, Waiting time 1081.0, Emergency Delay: 0.0
[Simulate] Step 118: Queue length 22, Waiting time 1018.0, Emergency Delay: 0.0
[Simulate] Step 119: Queue length 23, Waiting time 1060.0, Emergency Delay: 0.0
[Simulate] Step 120: Queue length 23, Waiting time 1053.0, Emergency Delay: 0.0
[Simulate] Step 121: Queue length 24, Waiting time 1087.0, Emergency Delay: 0.0
[Simulate] Step 122: Queue length 25, Waiting time 1096.0, Emergency Delay: 0.0
[Simulate] Step 123: Queue length 26, Waiting time 1122.0, Emergency Delay: 0.0
[Simulate] Step 124: Queue length 26, Waiting time 1143.0, Emergency Delay: 0.0
[Simulate] Step 125: Queue length 27, Waiting time 1149.0, Emergency Delay: 0.0
[Simulate] Step 126: Queue length 27, Waiting time 1176.0, Emergency Delay: 0.0
[Simulate] Step 127: Queue length 28, Waiting time 1204.0, Emergency Delay: 0.0
[Simulate] Step 128: Queue length 28, Waiting time 1212.0, Emergency Delay: 0.0
[Simulate] Step 129: Queue length 28, Waiting time 1240.0, Emergency Delay: 0.0
[Simulate] Step 130: Queue length 29, Waiting time 1250.0, Emergency Delay: 0.0
[Simulate] Step 131: Queue length 30, Waiting time 1270.0, Emergency Delay: 0.0
[Simulate] Step 132: Queue length 30, Waiting time 1300.0, Emergency Delay: 0.0
[Simulate] Step 133: Queue length 30, Waiting time 1330.0, Emergency Delay: 0.0
[Simulate] Step 134: Queue length 30, Waiting time 1360.0, Emergency Delay: 0.0
[Simulate] Step 135: Queue length 31, Waiting time 1391.0, Emergency Delay: 0.0
[Simulate] Step 136: Queue length 31, Waiting time 1422.0, Emergency Delay: 0.0
[Simulate] Step 137: Queue length 31, Waiting time 1453.0, Emergency Delay: 0.0
[Simulate] Step 138: Queue length 31, Waiting time 1484.0, Emergency Delay: 0.0
[Simulate] Step 139: Queue length 32, Waiting time 1516.0, Emergency Delay: 0.0
[Simulate] Step 140: Queue length 32, Waiting time 1548.0, Emergency Delay: 0.0
[Simulate] Step 141: Queue length 32, Waiting time 1580.0, Emergency Delay: 0.0
