Timestamp: 2025-04-14 00:24:07
Intersection: roundabout
Total reward: -8330.00
Epsilon: 0.92
Simulation duration: 31.5s
Avg queue length: 2.34
Cumulative wait time: 12625.00
Fault injected: ❌ No
Total Emergency Delay: 5028.00

Action Distribution:
Action 0: 287 times
Action 1: 278 times
Action 2: 274 times
Action 3: 282 times

Q-Value Log Per Step:
Step 2522 | Action: 3 (exploration)
Step 2536 | Action: 2 (exploration)
Step 2551 | Action: 2 (exploration)
Step 2561 | Action: 1 (exploration)
Step 2577 | Action: 2 (exploration)
Step 2595 | Action: 2 (exploration)
Step 2615 | Action: 1 (exploration)
Step 2639 | Action: 1 (exploration)
Step 2659 | Action: 0 (exploration)
Step 2683 | Action: 1 (exploration)
Step 2698 | Action: 3 (exploration)
Step 2712 | Action: 1 (exploration)
Step 2726 | Action: 2 (exploration)
Step 2740 | Action: 2 (exploration)
Step 2753 | Action: 1 (exploration)
Step 2772 | Action: 0 (exploration)
Step 2792 | Action: 2 (exploration)
Step 2806 | Action: 0 (exploration)
Step 2820 | Action: 0 (exploration)
Step 2830 | Action: 1 (exploration)
Step 2844 | Action: 3 (exploration)
Step 2859 | Action: 0 (exploration)
Step 2873 | Action: 3 (exploration)
Step 2887 | Action: 2 (exploration)
Step 2901 | Action: 2 (exploration)
Step 2911 | Action: 3 (exploration)
Step 2929 | Action: 2 (exploration)
Step 2943 | Action: 1 (exploration)
Step 2957 | Action: 1 (exploration)
Step 2967 | Action: 2 (exploration)
Step 2983 | Action: 3 (exploration)
Step 3002 | Action: 0 (exploration)
Step 3016 | Action: 3 (exploration)
Step 3030 | Action: 2 (exploration)
Step 3044 | Action: 2 (exploration)
Step 3054 | Action: 2 (exploration)
Step 3064 | Action: 0 (exploration)
Step 3079 | Action: 0 (exploration)
Step 3089 | Action: 2 (exploration)
Step 3104 | Action: 1 (exploration)
Step 3118 | Action: 3 (exploration)
Step 3132 | Action: 0 (exploration)
Step 3146 | Action: 1 (exploration)
Step 3160 | Action: 2 (exploration)
Step 3174 | Action: 1 (exploration)
Step 3189 | Action: 2 (exploration)
Step 3203 | Action: 2 (exploration)
Step 3215 | Action: 3 (exploration)
Step 3231 | Action: 0 (exploration)
Step 3245 | Action: 3 (exploration)
Step 3260 | Action: 0 (exploration)
Step 3275 | Action: 0 (exploration)
Step 3289 | Action: 1 (exploration)
Step 3311 | Action: 3 (exploration)
Step 3325 | Action: 0 (exploration)
Step 3339 | Action: 1 (exploration)
Step 3353 | Action: 1 (exploration)
Step 3363 | Action: 3 (exploration)
Step 3378 | Action: 3 (exploration)
Step 3388 | Action: 2 (exploration)
Step 3402 | Action: 2 (exploration)
Step 3412 | Action: 2 (exploration)
Step 3422 | Action: 1 (exploration)
Step 3436 | Action: 2 (exploration)
Step 3450 | Action: 0 (exploration)
Step 3464 | Action: 2 (exploration)
Step 3478 | Action: 2 (exploration)
Step 3488 | Action: 3 (exploration)
Step 3502 | Action: 3 (exploration)
Step 3512 | Action: 2 (exploration)
Step 3526 | Action: 2 (exploration)
Step 3536 | Action: 2 (exploration)
Step 3546 | Action: 3 (exploration)
Step 3560 | Action: 1 (exploration)
Step 3574 | Action: 2 (exploration)
Step 3588 | Action: 3 (exploration)
Step 3604 | Action: 1 (exploration)
Step 3618 | Action: 3 (exploration)
Step 3632 | Action: 1 (exploration)
Step 3646 | Action: 1 (exploration)
Step 3656 | Action: 0 (exploration)
Step 3670 | Action: 0 (exploration)
Step 3680 | Action: 0 (exploration)
Step 3690 | Action: 1 (exploration)
Step 3704 | Action: 2 (exploration)
Step 3718 | Action: 3 (exploration)
Step 3732 | Action: 3 (exploration)
Step 3742 | Action: 1 (exploration)
Step 3756 | Action: 3 (exploration)
Step 3770 | Action: 3 (exploration)
Step 3780 | Action: 1 (exploration)
Step 3794 | Action: 3 (exploration)
Step 3808 | Action: 1 (exploration)
Step 3822 | Action: 1 (exploration)
Step 3832 | Action: 1 (exploration)
Step 3842 | Action: 1 (exploration)
Step 3852 | Action: 3 (exploration)
Step 3866 | Action: 0 (exploration)
Step 3880 | Action: 2 (exploration)
Step 3894 | Action: 1 (exploration)
Step 3908 | Action: 0 (exploration)
Step 3923 | Action: 3 (exploration)
Step 3937 | Action: 2 (exploration)
Step 3951 | Action: 0 (exploration)
Step 3965 | Action: 1 (exploration)
Step 3979 | Action: 1 (exploration)
Step 3989 | Action: 3 (exploration)
Step 4003 | Action: 1 (exploration)
Step 4017 | Action: 2 (exploration)
Step 4031 | Action: 1 (exploration)
Step 4045 | Action: 1 (exploration)
Step 4055 | Action: 0 (exploration)
Step 4069 | Action: 1 (exploration)
Step 4083 | Action: 2 (exploration)
Step 4107 | Action: 3 (exploration)
Step 4121 | Action: 2 (exploration)
Step 4135 | Action: 2 (exploration)
Step 4145 | Action: 3 (exploration)
Step 4159 | Action: 3 (exploration)
Step 4169 | Action: 1 (exploration)
Step 4183 | Action: 3 (exploration)
Step 4197 | Action: 2 (exploration)
Step 4211 | Action: 0 (exploration)
Step 4225 | Action: 0 (exploration)
Step 4235 | Action: 3 (exploration)
Step 4249 | Action: 2 (exploration)
Step 4263 | Action: 2 (exploration)
Step 4273 | Action: 2 (exploration)
Step 4283 | Action: 0 (exploration)
Step 4297 | Action: 1 (exploration)
Step 4311 | Action: 3 (exploration)
Step 4325 | Action: 3 (exploration)
Step 4335 | Action: 1 (exploration)
Step 4349 | Action: 2 (exploration)
Step 4363 | Action: 0 (exploration)
Step 4377 | Action: 1 (exploration)
Step 4391 | Action: 0 (exploration)
Step 4405 | Action: 1 (exploration)
Step 4419 | Action: 3 (exploration)
Step 4433 | Action: 3 (exploration)
Step 4443 | Action: 2 (exploration)
Step 4457 | Action: 0 (exploration)
Step 4471 | Action: 2 (exploration)
Step 4485 | Action: 0 (exploration)
Step 4499 | Action: 1 (exploration)
Step 4513 | Action: 0 (exploration)
Step 4527 | Action: 1 (exploration)
Step 4541 | Action: 1 (exploration)
Step 4551 | Action: 0 (exploration)
Step 4565 | Action: 0 (exploration)
Step 4575 | Action: 1 (exploration)
Step 4589 | Action: 0 (exploration)
Step 4613 | Action: 3 (exploration)
Step 4627 | Action: 2 (exploration)
Step 4641 | Action: 0 (exploration)
Step 4655 | Action: 3 (exploration)
Step 4669 | Action: 3 (exploration)
Step 4679 | Action: 0 (exploration)
Step 4693 | Action: 3 (exploration)
Step 4707 | Action: 0 (exploration)
Step 4721 | Action: 2 (exploration)
Step 4735 | Action: 1 (exploration)
Step 4749 | Action: 1 (exploration)
Step 4759 | Action: 1 (exploration)
Step 4769 | Action: 2 (exploration)
Step 4783 | Action: 2 (exploration)
Step 4793 | Action: 0 (exploration)
Step 4807 | Action: 0 (exploration)
Step 4817 | Action: 3 (exploration)
Step 4831 | Action: 3 (exploration)
Step 4841 | Action: 0 (exploration)
Step 4855 | Action: 1 (exploration)
Step 4869 | Action: 2 (exploration)
Step 4883 | Action: 1 (exploration)
Step 4897 | Action: 1 (exploration)
Step 4907 | Action: 3 (exploration)
Step 4921 | Action: 0 (exploration)
Step 4935 | Action: 2 (exploration)
Step 4949 | Action: 3 (exploration)
Step 4963 | Action: 2 (exploration)
Step 4977 | Action: 3 (exploration)
Step 4991 | Action: 0 (exploration)
Step 5005 | Action: 3 (exploration)
Step 5019 | Action: 1 (exploration)
Step 5033 | Action: 3 (exploration)
Step 5047 | Action: 1 (exploration)
Step 5061 | Action: 3 (exploration)
Step 5075 | Action: 1 (exploration)
Step 5089 | Action: 1 (exploration)
Step 5099 | Action: 2 (exploration)
Step 5113 | Action: 3 (exploration)
Step 5127 | Action: 0 (exploration)
Step 5141 | Action: 0 (exploration)
Step 5151 | Action: 0 (exploration)
Step 5161 | Action: 2 (exploration)
Step 5175 | Action: 0 (exploration)
Step 5189 | Action: 3 (exploration)
Step 5203 | Action: 2 (exploration)
Step 5217 | Action: 0 (exploration)
Step 5231 | Action: 0 (exploration)
Step 5241 | Action: 3 (exploration)
Step 5255 | Action: 2 (exploration)
Step 5269 | Action: 2 (exploration)
Step 5279 | Action: 0 (exploration)
Step 5293 | Action: 0 (exploration)
Step 5303 | Action: 2 (exploration)
Step 5317 | Action: 2 (exploration)
Step 5327 | Action: 3 (exploration)
Step 5341 | Action: 0 (exploration)
Step 5355 | Action: 1 (exploration)
Step 5369 | Action: 3 (exploration)
Step 5383 | Action: 3 (exploration)
Step 5393 | Action: 3 (exploration)
Step 0 | Action: 2 (exploration)
