Timestamp: 2025-04-14 11:06:15
Intersection: cross
Total reward: -7478.00
Epsilon: 0.98
Simulation duration: 79.9s
Avg queue length: 1.81
Cumulative wait time: 9779.00
Fault injected: ❌ No
Total Emergency Delay: 15286.00

Action Distribution:
Action 0: 186 times
Action 1: 190 times
Action 2: 174 times
Action 3: 190 times

Q-Value Log Per Step:
Step 2527 | Action: 1 (exploration)
Step 2541 | Action: 3 (exploration)
Step 2555 | Action: 3 (exploration)
Step 2565 | Action: 0 (exploration)
Step 2580 | Action: 1 (exploration)
Step 2595 | Action: 3 (exploration)
Step 2610 | Action: 2 (exploration)
Step 2626 | Action: 3 (exploration)
Step 2640 | Action: 2 (exploration)
Step 2654 | Action: 1 (exploration)
Step 2668 | Action: 0 (exploration)
Step 2683 | Action: 3 (exploration)
Step 2697 | Action: 0 (exploration)
Step 2711 | Action: 2 (exploration)
Step 2725 | Action: 0 (exploration)
Step 2739 | Action: 2 (exploration)
Step 2753 | Action: 2 (exploration)
Step 2763 | Action: 0 (exploration)
Step 2777 | Action: 2 (exploration)
Step 2791 | Action: 0 (exploration)
Step 2805 | Action: 3 (exploration)
Step 2819 | Action: 2 (exploration)
Step 2833 | Action: 2 (exploration)
Step 2853 | Action: 1 (exploration)
Step 2870 | Action: 0 (exploration)
Step 2887 | Action: 0 (exploration)
Step 2900 | Action: 3 (exploration)
Step 2917 | Action: 0 (exploration)
Step 2934 | Action: 1 (exploration)
Step 2952 | Action: 3 (exploration)
Step 2971 | Action: 3 (exploration)
Step 2986 | Action: 2 (exploration)
Step 3006 | Action: 3 (exploration)
Step 3021 | Action: 1 (exploration)
Step 3037 | Action: 0 (exploration)
Step 3054 | Action: 0 (exploration)
Step 3064 | Action: 2 (exploration)
Step 3078 | Action: 0 (exploration)
Step 3092 | Action: 0 (exploration)
Step 3102 | Action: 3 (exploration)
Step 3116 | Action: 0 (exploration)
Step 3130 | Action: 2 (exploration)
Step 3145 | Action: 3 (exploration)
Step 3159 | Action: 1 (exploration)
Step 3173 | Action: 1 (exploration)
Step 3183 | Action: 1 (exploration)
Step 3193 | Action: 3 (exploration)
Step 3207 | Action: 2 (exploration)
Step 3221 | Action: 2 (exploration)
Step 3231 | Action: 3 (exploration)
Step 3245 | Action: 0 (exploration)
Step 3259 | Action: 1 (exploration)
Step 3273 | Action: 0 (exploration)
Step 3287 | Action: 1 (exploration)
Step 3301 | Action: 2 (exploration)
Step 3315 | Action: 3 (exploration)
Step 3329 | Action: 3 (exploration)
Step 3339 | Action: 3 (exploration)
Step 3349 | Action: 1 (exploration)
Step 3364 | Action: 3 (exploration)
Step 3380 | Action: 1 (exploration)
Step 3397 | Action: 3 (exploration)
Step 3415 | Action: 0 (exploration)
Step 3434 | Action: 0 (exploration)
Step 3447 | Action: 2 (exploration)
Step 3464 | Action: 1 (exploration)
Step 3478 | Action: 3 (exploration)
Step 3492 | Action: 1 (exploration)
Step 3506 | Action: 3 (exploration)
Step 3520 | Action: 2 (exploration)
Step 3534 | Action: 3 (exploration)
Step 3548 | Action: 1 (exploration)
Step 3562 | Action: 2 (exploration)
Step 3576 | Action: 2 (exploration)
Step 3587 | Action: 3 (exploration)
Step 3603 | Action: 0 (exploration)
Step 3620 | Action: 1 (exploration)
Step 3634 | Action: 3 (exploration)
Step 3649 | Action: 3 (exploration)
Step 3660 | Action: 3 (exploration)
Step 3672 | Action: 1 (exploration)
Step 3688 | Action: 1 (exploration)
Step 3701 | Action: 1 (exploration)
Step 3714 | Action: 1 (exploration)
Step 3727 | Action: 1 (exploration)
Step 3741 | Action: 2 (exploration)
Step 3759 | Action: 3 (exploration)
Step 3773 | Action: 1 (exploration)
Step 3787 | Action: 1 (exploration)
Step 3797 | Action: 2 (exploration)
Step 3811 | Action: 1 (exploration)
Step 3825 | Action: 2 (exploration)
Step 3839 | Action: 0 (exploration)
Step 3853 | Action: 0 (exploration)
Step 3863 | Action: 1 (exploration)
Step 3877 | Action: 1 (exploration)
Step 3887 | Action: 0 (exploration)
Step 3901 | Action: 0 (exploration)
Step 3912 | Action: 1 (exploration)
Step 3927 | Action: 0 (exploration)
Step 3942 | Action: 0 (exploration)
Step 3954 | Action: 1 (exploration)
Step 3970 | Action: 0 (exploration)
Step 3987 | Action: 0 (exploration)
Step 4000 | Action: 3 (exploration)
Step 4018 | Action: 2 (exploration)
Step 4036 | Action: 3 (exploration)
Step 4050 | Action: 3 (exploration)
Step 4060 | Action: 2 (exploration)
Step 4074 | Action: 0 (exploration)
Step 4088 | Action: 0 (exploration)
Step 4098 | Action: 2 (exploration)
Step 4112 | Action: 2 (exploration)
Step 4122 | Action: 1 (exploration)
Step 4136 | Action: 3 (exploration)
Step 4150 | Action: 0 (exploration)
Step 4164 | Action: 2 (exploration)
Step 4178 | Action: 2 (exploration)
Step 4188 | Action: 0 (exploration)
Step 4202 | Action: 2 (exploration)
Step 4216 | Action: 0 (exploration)
Step 4230 | Action: 2 (exploration)
Step 4244 | Action: 3 (exploration)
Step 4258 | Action: 1 (exploration)
Step 4272 | Action: 2 (exploration)
Step 4286 | Action: 0 (exploration)
Step 4300 | Action: 1 (exploration)
Step 4314 | Action: 1 (exploration)
Step 4324 | Action: 3 (exploration)
Step 4338 | Action: 0 (exploration)
Step 4352 | Action: 3 (exploration)
Step 4366 | Action: 0 (exploration)
Step 4380 | Action: 0 (exploration)
Step 4390 | Action: 0 (exploration)
Step 4400 | Action: 3 (exploration)
Step 4414 | Action: 1 (exploration)
Step 4428 | Action: 0 (exploration)
Step 4442 | Action: 2 (exploration)
Step 4456 | Action: 0 (exploration)
Step 4470 | Action: 1 (exploration)
Step 4484 | Action: 2 (exploration)
Step 4498 | Action: 3 (exploration)
Step 4512 | Action: 2 (exploration)
Step 4526 | Action: 1 (exploration)
Step 4540 | Action: 3 (exploration)
Step 4554 | Action: 0 (exploration)
Step 4568 | Action: 2 (exploration)
Step 4582 | Action: 1 (exploration)
Step 4596 | Action: 2 (exploration)
Step 4610 | Action: 1 (exploration)
Step 4624 | Action: 1 (exploration)
Step 4634 | Action: 3 (exploration)
Step 4648 | Action: 3 (exploration)
Step 4658 | Action: 0 (exploration)
Step 4672 | Action: 2 (exploration)
Step 4686 | Action: 3 (exploration)
Step 4700 | Action: 0 (exploration)
Step 4714 | Action: 0 (exploration)
Step 4724 | Action: 2 (exploration)
Step 4738 | Action: 3 (exploration)
Step 4752 | Action: 2 (exploration)
Step 4766 | Action: 3 (exploration)
Step 4780 | Action: 3 (exploration)
Step 4790 | Action: 2 (exploration)
Step 4804 | Action: 0 (exploration)
Step 4818 | Action: 2 (exploration)
Step 4832 | Action: 2 (exploration)
Step 4842 | Action: 3 (exploration)
Step 4856 | Action: 3 (exploration)
Step 4866 | Action: 3 (exploration)
Step 4876 | Action: 3 (exploration)
Step 4886 | Action: 1 (exploration)
Step 4900 | Action: 3 (exploration)
Step 4914 | Action: 1 (exploration)
Step 4928 | Action: 2 (exploration)
Step 4942 | Action: 3 (exploration)
Step 4956 | Action: 0 (exploration)
Step 4970 | Action: 1 (exploration)
Step 4984 | Action: 3 (exploration)
Step 4998 | Action: 3 (exploration)
Step 5008 | Action: 0 (exploration)
Step 5022 | Action: 2 (exploration)
Step 5036 | Action: 2 (exploration)
Step 5046 | Action: 2 (exploration)
Step 5056 | Action: 1 (exploration)
Step 5070 | Action: 3 (exploration)
Step 5084 | Action: 0 (exploration)
Step 5098 | Action: 3 (exploration)
Step 5112 | Action: 1 (exploration)
Step 5126 | Action: 0 (exploration)
Step 5140 | Action: 1 (exploration)
Step 5154 | Action: 2 (exploration)
Step 5168 | Action: 0 (exploration)
Step 5182 | Action: 3 (exploration)
Step 5196 | Action: 3 (exploration)
Step 5206 | Action: 0 (exploration)
Step 5220 | Action: 2 (exploration)
Step 5234 | Action: 3 (exploration)
Step 5248 | Action: 2 (exploration)
Step 5262 | Action: 0 (exploration)
Step 5276 | Action: 3 (exploration)
Step 5290 | Action: 3 (exploration)
Step 5300 | Action: 1 (exploration)
Step 5314 | Action: 1 (exploration)
Step 5324 | Action: 2 (exploration)
Step 5338 | Action: 0 (exploration)
Step 5352 | Action: 3 (exploration)
Step 5366 | Action: 1 (exploration)
Step 5380 | Action: 3 (exploration)
Step 5394 | Action: 1 (exploration)
Step 0 | Action: 1 (exploration)
Step 10 | Action: 2 (exploration)
Step 24 | Action: 0 (exploration)
Step 38 | Action: 1 (exploration)
Step 52 | Action: 1 (exploration)
Step 62 | Action: 1 (exploration)
Step 72 | Action: 1 (exploration)
Step 82 | Action: 0 (exploration)
Step 96 | Action: 0 (exploration)
Step 106 | Action: 1 (exploration)
Step 120 | Action: 2 (exploration)
Step 134 | Action: 1 (exploration)
Step 148 | Action: 3 (exploration)
Step 162 | Action: 1 (exploration)
Step 176 | Action: 3 (exploration)
Step 190 | Action: 2 (exploration)
Step 204 | Action: 2 (exploration)
Step 214 | Action: 0 (exploration)
Step 229 | Action: 1 | Raw Q: [-0.0023826584219932556, 0.028784042224287987, -0.05983126908540726, -0.023484449833631516] | Boosted Q: [-0.0023826584219932556, 0.028784042224287987, -0.05983126908540726, -0.023484449833631516]
Step 243 | Action: 1 (exploration)
Step 253 | Action: 1 (exploration)
Step 263 | Action: 2 (exploration)
Step 277 | Action: 0 (exploration)
Step 291 | Action: 1 | Raw Q: [-0.0037955092266201973, 0.01935303770005703, -0.08811540901660919, -0.004943422973155975] | Boosted Q: [-0.0037955092266201973, 0.01935303770005703, -0.08811540901660919, -0.004943422973155975]
Step 305 | Action: 0 (exploration)
Step 319 | Action: 1 (exploration)
Step 334 | Action: 1 (exploration)
Step 348 | Action: 2 (exploration)
Step 368 | Action: 2 (exploration)
Step 378 | Action: 2 (exploration)
Step 388 | Action: 1 (exploration)
Step 402 | Action: 1 (exploration)
Step 412 | Action: 3 (exploration)
Step 426 | Action: 2 (exploration)
Step 441 | Action: 2 (exploration)
Step 453 | Action: 1 (exploration)
Step 469 | Action: 1 (exploration)
Step 482 | Action: 0 (exploration)
Step 500 | Action: 0 (exploration)
Step 510 | Action: 0 (exploration)
Step 521 | Action: 1 (exploration)
Step 537 | Action: 3 (exploration)
Step 553 | Action: 2 (exploration)
Step 569 | Action: 0 (exploration)
Step 583 | Action: 1 (exploration)
Step 597 | Action: 1 (exploration)
Step 607 | Action: 2 (exploration)
Step 621 | Action: 0 (exploration)
Step 635 | Action: 2 (exploration)
Step 649 | Action: 3 (exploration)
Step 663 | Action: 0 (exploration)
Step 677 | Action: 0 (exploration)
Step 687 | Action: 0 (exploration)
Step 697 | Action: 2 (exploration)
Step 711 | Action: 3 (exploration)
Step 726 | Action: 2 (exploration)
Step 741 | Action: 0 (exploration)
Step 757 | Action: 0 (exploration)
Step 769 | Action: 0 (exploration)
Step 782 | Action: 3 (exploration)
Step 800 | Action: 1 (exploration)
Step 819 | Action: 1 (exploration)
Step 831 | Action: 0 (exploration)
Step 850 | Action: 3 (exploration)
Step 869 | Action: 0 (exploration)
Step 890 | Action: 3 (exploration)
Step 913 | Action: 1 (exploration)
