Timestamp: 2025-04-14 11:08:41
Intersection: cross
Total reward: -9690.00
Epsilon: 0.96
Simulation duration: 56.0s
Avg queue length: 2.17
Cumulative wait time: 11707.00
Fault injected: ❌ No
Total Emergency Delay: 137903.00

Action Distribution:
Action 0: 269 times
Action 1: 272 times
Action 2: 273 times
Action 3: 284 times

Q-Value Log Per Step:
Step 0 | Action: 3 (exploration)
Step 10 | Action: 3 (exploration)
Step 20 | Action: 3 (exploration)
Step 30 | Action: 1 (exploration)
Step 44 | Action: 2 (exploration)
Step 58 | Action: 1 (exploration)
Step 72 | Action: 2 (exploration)
Step 86 | Action: 3 (exploration)
Step 100 | Action: 0 (exploration)
Step 114 | Action: 0 (exploration)
Step 124 | Action: 3 (exploration)
Step 138 | Action: 2 (exploration)
Step 152 | Action: 2 (exploration)
Step 162 | Action: 3 (exploration)
Step 176 | Action: 0 (exploration)
Step 190 | Action: 0 (exploration)
Step 200 | Action: 2 (exploration)
Step 214 | Action: 2 (exploration)
Step 224 | Action: 3 (exploration)
Step 238 | Action: 1 (exploration)
Step 252 | Action: 1 (exploration)
Step 262 | Action: 2 (exploration)
Step 276 | Action: 2 (exploration)
Step 286 | Action: 1 (exploration)
Step 300 | Action: 1 (exploration)
Step 310 | Action: 1 (exploration)
Step 320 | Action: 1 (exploration)
Step 331 | Action: 3 (exploration)
Step 349 | Action: 1 (exploration)
Step 370 | Action: 0 (exploration)
Step 394 | Action: 1 (exploration)
Step 418 | Action: 2 (exploration)
Step 442 | Action: 3 (exploration)
Step 456 | Action: 0 (exploration)
Step 471 | Action: 1 (exploration)
Step 485 | Action: 0 (exploration)
Step 499 | Action: 0 (exploration)
Step 509 | Action: 1 (exploration)
Step 524 | Action: 0 (exploration)
Step 539 | Action: 1 (exploration)
Step 555 | Action: 3 (exploration)
Step 573 | Action: 1 (exploration)
Step 591 | Action: 1 (exploration)
Step 607 | Action: 0 (exploration)
Step 628 | Action: 2 (exploration)
Step 649 | Action: 3 (exploration)
Step 663 | Action: 2 (exploration)
Step 678 | Action: 3 (exploration)
Step 694 | Action: 3 (exploration)
Step 708 | Action: 0 (exploration)
Step 728 | Action: 1 (exploration)
Step 744 | Action: 1 (exploration)
Step 757 | Action: 2 (exploration)
Step 777 | Action: 0 (exploration)
Step 791 | Action: 3 (exploration)
Step 805 | Action: 1 (exploration)
Step 819 | Action: 0 (exploration)
Step 833 | Action: 3 (exploration)
Step 848 | Action: 2 (exploration)
Step 864 | Action: 1 (exploration)
Step 878 | Action: 2 (exploration)
Step 892 | Action: 0 (exploration)
Step 906 | Action: 0 (exploration)
Step 916 | Action: 2 (exploration)
Step 930 | Action: 1 (exploration)
Step 944 | Action: 1 (exploration)
Step 955 | Action: 0 (exploration)
Step 971 | Action: 0 (exploration)
Step 982 | Action: 2 (exploration)
Step 998 | Action: 2 (exploration)
Step 1010 | Action: 3 (exploration)
Step 1026 | Action: 0 (exploration)
Step 1040 | Action: 2 (exploration)
Step 1055 | Action: 2 (exploration)
Step 1065 | Action: 3 (exploration)
Step 1080 | Action: 2 (exploration)
Step 1094 | Action: 2 (exploration)
Step 1105 | Action: 0 (exploration)
Step 1120 | Action: 1 (exploration)
